frame_id,room_amount,window_amount,surface,total_exterior_wall_amount,total_source_energy_consumption_GJ,total_site_energy_consumption_GJ,total_source_energy_consumption_per_surface_MJm2,total_site_energy_consumption_per_surface_MJm2,site_energy_heating_GJ,site_energy_cooling_GJ,site_energy_heating_per_surface_MJm2,site_energy_cooling_per_surface_MJm2,total_window_amount,total_wall_area_m2,wall_area_north_m2,wall_area_east_m2,wall_area_south_m2,wall_area_west_m2,total_window_opening_area_m2,window_opening_area_north_m2,window_opening_area_east_m2,window_opening_area_south_m2,window_opening_area_west_m2,total_window_wall_ratio_percent,window_wall_ratio_north_percent,window_wall_ratio_east_percent,window_wall_ratio_south_percent,window_wall_ratio_west_percent
7,5,9,59.484899999999996,9.0,164.55,49.15,2766.32,826.26,36.04,3.41,605.83,57.24,9.0,94.28,0.0,37.49,25.22,31.56,23.4,0.0,11.3,1.74,10.36,24.82,0.0,30.13,6.9,32.83
7,5,7,59.484899999999996,9.0,152.45,44.95,2562.75,755.62,33.04,2.2,555.4,37.04,7.0,94.28,0.0,37.49,25.22,31.56,14.95,0.0,6.78,0.0,8.16,15.85,0.0,18.1,0.0,25.86
8,4,3,49.143600000000006,9.0,122.61,35.67,2495.01,725.89,25.93,0.92,527.73,18.68,3.0,75.95,20.5,17.48,20.5,17.48,9.77,9.77,0.0,0.0,0.0,12.86,47.67,0.0,0.0,0.0
8,4,9,49.143600000000006,9.0,142.95,43.54,2908.76,885.99,30.64,4.08,623.42,83.08,9.0,75.95,20.5,17.48,20.5,17.48,22.78,2.53,9.16,3.71,7.38,29.99,12.32,52.43,18.09,42.22
8,4,3,49.143600000000006,9.0,125.11,36.41,2545.88,740.98,26.61,0.99,541.39,20.1,3.0,75.95,20.5,17.48,20.5,17.48,11.23,11.23,0.0,0.0,0.0,14.78,54.78,0.0,0.0,0.0
8,4,6,49.143600000000006,9.0,142.44,43.69,2898.36,889.03,30.38,4.49,618.1,91.45,6.0,75.95,20.5,17.48,20.5,17.48,22.32,0.0,7.68,4.62,10.02,29.39,0.0,43.93,22.56,57.31
8,4,9,49.143600000000006,9.0,142.84,43.3,2906.62,881.13,30.69,3.79,624.59,77.05,9.0,75.95,17.48,20.5,17.48,20.5,22.78,9.16,3.71,7.38,2.53,29.99,52.43,18.09,42.22,12.32
8,4,1,49.143600000000006,9.0,107.66,31.24,2190.67,635.59,21.92,0.5,446.01,10.09,1.0,75.95,17.48,20.5,17.48,20.5,0.74,0.74,0.0,0.0,0.0,0.98,4.25,0.0,0.0,0.0
8,4,8,49.143600000000006,9.0,132.42,40.55,2694.45,825.07,27.75,3.97,564.77,80.82,8.0,75.95,17.48,20.5,17.48,20.5,15.92,0.0,4.62,10.02,1.28,20.96,0.0,22.56,57.31,6.24
8,4,8,49.143600000000006,9.0,131.93,39.69,2684.52,807.55,27.92,2.95,568.12,59.95,8.0,75.95,17.48,20.5,17.48,20.5,15.45,0.0,4.13,1.47,9.85,20.35,0.0,20.15,8.43,48.07
8,4,3,49.143600000000006,9.0,116.82,33.95,2377.11,690.82,24.38,0.75,496.11,15.22,3.0,75.95,20.5,17.48,20.5,17.48,6.34,6.34,0.0,0.0,0.0,8.35,30.93,0.0,0.0,0.0
8,4,6,49.143600000000006,9.0,137.12,41.6,2790.25,846.51,29.16,3.62,593.38,73.64,6.0,75.95,20.5,17.48,20.5,17.48,18.98,0.0,10.02,1.28,7.68,24.98,0.0,57.31,6.24,43.93
8,4,6,49.143600000000006,9.0,125.58,37.79,2555.4,769.01,26.22,2.75,533.54,55.98,6.0,75.95,20.5,17.48,20.5,17.48,12.98,0.0,1.47,9.85,1.66,17.1,0.0,8.43,48.07,9.5
8,4,9,49.143600000000006,9.0,138.85,41.53,2825.44,845.12,29.87,2.85,607.71,57.92,9.0,75.95,20.5,17.48,20.5,17.48,19.82,7.46,9.3,1.56,1.5,26.1,36.4,53.23,7.62,8.56
8,4,7,49.143600000000006,9.0,127.07,38.27,2585.73,778.72,26.61,2.84,541.4,57.84,7.0,75.95,17.48,20.5,17.48,20.5,13.58,0.0,1.28,7.68,4.62,17.88,0.0,6.24,43.93,22.56
8,4,7,49.143600000000006,9.0,131.41,39.36,2673.98,800.9,27.85,2.69,566.75,54.67,7.0,75.95,17.48,20.5,17.48,20.5,15.64,0.0,9.85,1.66,4.13,20.59,0.0,48.07,9.5,20.15
8,4,9,49.143600000000006,9.0,139.41,41.55,2836.69,845.42,30.08,2.65,611.99,53.95,9.0,75.95,17.48,20.5,17.48,20.5,19.82,9.3,1.56,1.5,7.46,26.1,53.23,7.62,8.56,36.4
8,4,2,49.143600000000006,9.0,108.25,31.41,2202.71,639.18,22.08,0.51,449.24,10.46,2.0,75.95,17.48,20.5,17.48,20.5,0.89,0.89,0.0,0.0,0.0,1.17,5.1,0.0,0.0,0.0
9,9,2,104.7558,12.0,213.26,61.72,2035.75,589.22,44.34,0.95,423.24,9.1,2.0,110.54,27.69,27.58,27.69,27.58,9.71,9.71,0.0,0.0,0.0,8.79,35.08,0.0,0.0,0.0
9,9,11,104.7558,12.0,243.37,72.8,2323.21,694.97,51.54,4.83,491.98,46.11,11.0,110.54,27.69,27.58,27.69,27.58,29.65,5.23,9.0,10.82,4.61,26.82,18.87,32.62,39.07,16.72
9,9,2,104.7558,12.0,222.44,64.46,2123.39,615.34,46.8,1.23,446.72,11.73,2.0,110.54,27.69,27.58,27.69,27.58,15.88,15.88,0.0,0.0,0.0,14.36,57.33,0.0,0.0,0.0
9,9,9,104.7558,12.0,242.83,73.23,2318.07,699.07,51.15,5.65,488.28,53.91,9.0,110.54,27.69,27.58,27.69,27.58,29.19,0.0,6.51,13.82,8.86,26.41,0.0,23.62,49.9,32.13
9,9,11,104.7558,12.0,244.36,72.43,2332.62,691.44,52.08,3.92,497.12,37.44,11.0,110.54,27.58,27.69,27.58,27.69,29.65,9.0,10.82,4.61,5.23,26.82,32.62,39.07,16.72,18.87
9,9,3,104.7558,12.0,208.13,60.2,1986.86,574.69,42.96,0.8,410.12,7.68,3.0,110.54,27.58,27.69,27.58,27.69,5.57,5.57,0.0,0.0,0.0,5.04,20.21,0.0,0.0,0.0
9,9,8,104.7558,12.0,234.92,70.02,2242.58,668.37,49.39,4.2,471.43,40.06,8.0,110.54,27.58,27.69,27.58,27.69,24.96,0.0,13.82,8.86,2.28,22.58,0.0,49.9,32.13,8.23
9,9,8,104.7558,12.0,240.57,72.41,2296.45,691.22,50.6,5.37,483.07,51.27,8.0,110.54,27.58,27.69,27.58,27.69,27.56,0.0,3.68,10.08,13.8,24.93,0.0,13.28,36.54,49.85
9,9,3,104.7558,12.0,202.31,58.49,1931.24,558.37,41.39,0.67,395.11,6.38,3.0,110.54,27.69,27.58,27.69,27.58,2.43,2.43,0.0,0.0,0.0,2.2,8.77,0.0,0.0,0.0
