TimeStamp,Duration,Optimizer,CV Type,Split,K-Folds,HL Widths,Conv Layer Type,Pooling,Learning Rate,Batch Size,Epochs,Training Accuracy,Testing Accuracy,Training Loss,Testing Loss
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,59,0.8333333333333334,0.2692307692307692,1.5827714204788208,2.263408899307251
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,60,0.8333333333333334,0.2692307692307692,1.5751885175704956,2.2650561332702637
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,61,0.8333333333333334,0.2692307692307692,1.567710041999817,2.2667224407196045
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,62,0.8333333333333334,0.2692307692307692,1.5603342056274414,2.2684061527252197
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,63,0.8333333333333334,0.2692307692307692,1.5530576705932617,2.270106792449951
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,64,0.8333333333333334,0.2692307692307692,1.5458784103393555,2.271822929382324
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,65,0.8333333333333334,0.2692307692307692,1.538793683052063,2.2735536098480225
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,66,0.8333333333333334,0.2692307692307692,1.5318013429641724,2.2752983570098877
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,67,0.8333333333333334,0.2692307692307692,1.5248991250991821,2.2770559787750244
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,68,0.8333333333333334,0.2692307692307692,1.5180844068527222,2.278825521469116
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,69,0.8333333333333334,0.2692307692307692,1.5113555192947388,2.280606269836426
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,70,0.8333333333333334,0.2692307692307692,1.5047101974487305,2.282397747039795
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,71,0.8333333333333334,0.2692307692307692,1.498146414756775,2.2841989994049072
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,72,0.8333333333333334,0.2692307692307692,1.4916621446609497,2.2860090732574463
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,73,0.8333333333333334,0.2692307692307692,1.4852558374404907,2.287827968597412
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,74,0.8333333333333334,0.2692307692307692,1.478925347328186,2.28965425491333
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,75,0.8333333333333334,0.23076923076923078,1.4726687669754028,2.291487693786621
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,76,0.8333333333333334,0.23076923076923078,1.4664846658706665,2.2933273315429688
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,77,0.8333333333333334,0.23076923076923078,1.460371494293213,2.295172691345215
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,78,0.8333333333333334,0.23076923076923078,1.4543272256851196,2.2970240116119385
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,79,0.8333333333333334,0.23076923076923078,1.4483505487442017,2.298879384994507
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,80,0.8333333333333334,0.23076923076923078,1.4424396753311157,2.300739049911499
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,81,0.8333333333333334,0.23076923076923078,1.4365935325622559,2.302602529525757
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,82,0.8333333333333334,0.23076923076923078,1.4308103322982788,2.3044686317443848
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,83,0.8333333333333334,0.23076923076923078,1.4250885248184204,2.306337594985962
